"","id","company_urlname","company_id","shares","C2B_likes","total_comments","created_date","post_time","post_date","weekday","time","type","afinnscore","bingscore","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","message"
"1644",1644,"jeep","7037526514",26,749,60,"2012-01-23","15:55:22","2012-01-23",1,"afternoon","link",5,1,0,1,0,0,1,0,4,0,0,1,"have you seen lucasfilm’s red tails movie celebrating the tuskegee airmen?  join jeep in supporting the red tails feature film, and experience an important part of american history:"
"1645",1645,"jeep","7037526514",0,366,26,"2012-01-20","20:57:03","2012-01-20",5,"night","video",8,0,1,2,0,1,1,2,1,1,3,0,"pro snowboarder hannah teter is a busy woman. however, she's taking some time out of her x games training to help one lucky jeep fan dig for a new jeep! so don't be left out in the cold- today is your last chance to play our arctic yeti dig game () for your shot at a new wrangler arctic edition!"
"1646",1646,"jeep","7037526514",74,929,54,"2012-01-20","15:19:23","2012-01-20",5,"afternoon","video",14,3,1,4,1,2,2,2,4,3,4,1,"attention jeep fans: don't miss your shot at winning a new jeep wrangler arctic edition! x games athlete and pro yeti hunter hannah teter has come down the mountain to dig on the behalf of one lucky jeep fan. play the arctic yeti dig for your chance to win!"
"1647",1647,"jeep","7037526514",0,689,68,"2012-01-19","22:00:01","2012-01-19",4,"night","link",7,3,1,3,1,2,2,2,3,3,3,1,"bio- pro snowboarder, olympic gold medalist, yeti hunter. mission- to give one lucky digger a shot at winning a new jeep wrangler arctic edition:"
"1648",1648,"jeep","7037526514",96,590,64,"2012-01-19","20:55:16","2012-01-19",4,"night","video",9,5,0,7,1,0,5,1,6,0,3,3,"the wait is finally over jeep fans! we're happy to announce that douglas p. is the winner of our jeep ops promotion and the proud new owner of a cod:mw3 edition jeep wrangler. as an added bonus, here's a behind the scenes look at bringing the world of call of duty to life:"
"1649",1649,"jeep","7037526514",426,3394,133,"2012-01-19","16:17:24","2012-01-19",4,"afternoon","photo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1650",1650,"jeep","7037526514",0,1107,71,"2012-01-18","16:30:01","2012-01-18",3,"afternoon","swf",2,1,0,1,0,0,1,0,1,0,0,1,"peace of mind this winter comes at the turn of a dial:"
"1651",1651,"jeep","7037526514",48,659,98,"2012-01-17","19:53:01","2012-01-17",2,"night","link",5,1,1,3,0,0,2,0,3,1,1,2,"looking for the perfect soundtrack for your jeep adventure? the jeep blog has a few musical suggestions:"
"1652",1652,"jeep","7037526514",158,1207,1010,"2012-01-16","21:00:03","2012-01-16",1,"night","photo",2,1,0,1,0,0,0,0,1,0,0,0,"caption this! to get your creative juices flowing we’ll start with “looks like it was a good day to take the jeep.”"
"1653",1653,"jeep","7037526514",225,2284,415,"2012-01-16","16:00:09","2012-01-16",1,"afternoon","photo",-2,0,1,1,1,1,0,1,0,1,1,0,"while many people would view this jeep as a wreck, we know some of our fans would simply see a  ""fixer-upper"". send us some shots of your ongoing jeep projects! photo via flickr user elviskennedy."
"1654",1654,"jeep","7037526514",186,2445,149,"2012-01-13","20:30:05","2012-01-13",5,"night","photo",5,NA,0,0,0,0,0,0,1,0,0,0,"this week’s jeep fan photo of the week is courtesy of aaron brem."
"1655",1655,"jeep","7037526514",39,504,34,"2012-01-13","16:24:36","2012-01-13",5,"afternoon","photo",-3,-3,1,5,1,1,1,2,2,1,3,1,"on the hunt for the yeti but missed your plane to aspen? don’t worry- help is coming down the mountain. play the arctic yeti dig game on facebook () or send @jeep a tweet tagged #yetidig for the chance to have our mystery celebrity athlete dig on your behalf."
"1656",1656,"jeep","7037526514",0,550,26,"2012-01-12","21:30:02","2012-01-12",4,"night","link",4,2,0,1,0,0,1,0,1,0,0,0,"thursday throwback! this fun commercial features some jeep fans playing a very specialized game of frisbee:"
"1657",1657,"jeep","7037526514",0,745,30,"2012-01-12","16:30:01","2012-01-12",4,"afternoon","link",1,0,0,0,0,0,0,1,0,0,1,0,"""gussying"", or modifying, mb jeeps was a popular activity during and after wwii. modifications ranged from the practical to the bizarre:"
"1658",1658,"jeep","7037526514",106,1749,1318,"2012-01-11","21:00:03","2012-01-11",3,"night","photo",2,0,0,0,1,1,0,1,1,0,1,0,"all jeep fans had to catch the bug somewhere- what was your first jeep? photo courtesy of flickr user tuuur:"
"1659",1659,"jeep","7037526514",95,1156,147,"2012-01-10","17:22:32","2012-01-10",2,"afternoon","photo",7,4,0,2,0,0,3,0,4,0,2,3,"hey jeep fans- we appreciate your enthusiasm for our call of duty jeep ops promotion. we have reached out to the winner and are waiting for confirmation on their end. if you have any further questions we encourage you to check out the official rules () and thank you for playing!"
"1660",1660,"jeep","7037526514",0,798,52,"2012-01-10","16:30:01","2012-01-10",2,"afternoon","link",-2,NA,1,0,0,0,0,0,0,0,1,0,"when winter weather threatened to shut down local hospitals this nova scotian jeep club stepped up to the plate. here's a shout out to these off-road good samaritans:"
"1661",1661,"jeep","7037526514",0,608,83,"2012-01-09","21:00:01","2012-01-09",1,"night","link",3,1,0,0,0,0,3,0,3,0,2,0,"today is the first day of the north american international auto show! look for a special electric version of the grand cherokee to be unveiled by amp electric vehicles:"
"1662",1662,"jeep","7037526514",25,439,21,"2012-01-09","15:46:09","2012-01-09",1,"afternoon","photo",NA,NA,0,1,0,1,0,0,0,0,0,0,"head to the jeep blog at 11am est to watch our live q&a at the north american international auto show with chrysler group llc ceo sergio marchionne! "
"1663",1663,"jeep","7037526514",274,1629,1095,"2012-01-06","21:00:23","2012-01-06",5,"night","photo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caption this! can you caption this vintage jeep photo? photo via flickr user rich701."
