"","id","company_urlname","company_id","shares","C2B_likes","total_comments","created_date","post_time","post_date","weekday","time","type","message","afinnscore","bingscore","anger","anticipation","disgust","fear","joy","negative.x","positive.x","sadness","surprise","trust","constraining","litigious","negative.y","positive.y","uncertainty","n"
"2814",2814,"subaruofamerica","101616856688",1,34,6,"2012-01-27","18:06:41","2012-01-27",5,"afternoon","link",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2815",2815,"subaruofamerica","101616856688",0,37,2,"2012-01-27","18:06:29","2012-01-27",5,"afternoon","link",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2816",2816,"subaruofamerica","101616856688",19,96,4,"2012-01-25","20:35:03","2012-01-25",3,"night","link","the top dog contest ends tomorrow – make sure to send in your entries before the deadline! we’re looking for pics of your pup with your subaru – the grand prize winner gets a professional photo shoot … and a new toy, of course :d ",8,4,1,3,0,1,1,1,3,0,1,2,0,0,0,1,0,18
"2817",2817,"subaruofamerica","101616856688",12,86,4,"2012-01-25","19:41:20","2012-01-25",3,"night","link","gianni cabiglio of brz-club.com is the ultimate brz fan, and was on hand at ces to capture some great footage of the car as well as interviews with david sullivan from subaru and david acker from aha radio. check out our tumblr for the video!",3,NA,0,1,0,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,23
"2818",2818,"subaruofamerica","101616856688",1,134,4,"2012-01-25","16:39:04","2012-01-25",3,"afternoon","status","we're all about volunteering - that's why we run subaru legacy days, providing opportunities for our employees to give back. today's activity is with ronald mcdonald house of southern new jersey, which provides a home-away-from-home to families of seriously ill and traumatically injured children.",-2,-1,1,1,1,2,1,2,1,2,0,1,0,0,2,1,0,22
"2819",2819,"subaruofamerica","101616856688",1,77,6,"2012-01-24","23:39:19","2012-01-24",2,"night","link","tim brodhagen and thegoodlife! crew road-tripped it last week for jackson hole snowboarder’s annual mid-season blowout with subaru supplying the wheels – a 2012 subaru outback. for pics and the travelogues, check out our tumblr: ",NA,NA,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,24
"2820",2820,"subaruofamerica","101616856688",1,65,15,"2012-01-24","18:53:07","2012-01-24",2,"afternoon","status","houston, which was founded in 1836, is texas’s largest city. with loads of cultural events, including the houston livestock show and rodeo, pride parade, art car parade and the bayou city art festival, there’s certainly enough to keep one entertained. there’s one event we’re particularly interested in, though – especially since we’ll be there this week! any guesses?",NA,1,0,5,0,2,7,2,8,2,5,0,NA,NA,NA,NA,NA,30
"2821",2821,"subaruofamerica","101616856688",37,131,34,"2012-01-24","17:16:46","2012-01-24",2,"afternoon","status","it’s national compliment day, so spread the love and share some compliments! let us know if you get a great (read=happy) reaction. it’s always nice to boost someone’s day!",11,5,0,3,0,0,4,0,4,0,1,3,0,0,0,4,0,16
"2822",2822,"subaruofamerica","101616856688",2,80,3,"2012-01-23","23:09:00","2012-01-23",1,"night","link","the temple university snowboarding club had a problem ­- the snowstorm wasn't due in until saturday and bell tower rail jam, the club's 4th annual on-campus snowboarding/skiing event was on thursday night. what to do? call on subaru! from 6 pm the night before until 2 am, we built scaffolding, trucked in snow, and shoveled it to build the park features. hats, gloves and scarves off to the very talented athletes from temple university and big boulder who competed for cool prizes! check out the pics in our flickr gallery:  are your snow sports plans this year?",1,0,1,3,0,0,0,1,6,0,0,0,NA,NA,NA,NA,NA,52
"2823",2823,"subaruofamerica","101616856688",38,116,20,"2012-01-23","22:56:36","2012-01-23",1,"night","video","did you miss last week’s episode of portlandia? if so, you missed your favorite quirky characters fred and carrie in more hilarious situations. this time, subaru was involved! friday’s episode featured an all-new 2012 impreza as well as an outback wagon. check out the sketch below to see for yourself! as the exclusive auto sponsor, you can expect to see more episodes featuring fred and carrie with their subaru. be sure to tune in to ifc - independent film channel on fridays at 10pm to catch them!",2,0,0,2,0,0,2,0,4,0,3,3,0,0,2,2,0,41
"2824",2824,"subaruofamerica","101616856688",12,214,11,"2012-01-23","21:57:18","2012-01-23",1,"night","photo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2825",2825,"subaruofamerica","101616856688",1,98,25,"2012-01-23","18:45:18","2012-01-23",1,"afternoon","status","we’re committed to keeping our cars running, our pets fed and our activities worthy – but when it comes to our email – well, that might be another story. so join us for clean out your inbox week, and if you’re feeling fancy, leave your goal in the comments. we’ll start: inbox down to 68 messages.",6,3,1,3,1,1,3,2,6,2,2,4,1,0,0,1,0,26
"2826",2826,"subaruofamerica","101616856688",20,298,20,"2012-01-23","16:20:02","2012-01-23",1,"afternoon","status","welcome to the lunar new year and all of the endless possibilities that surface in the horizon. this is the year of the dragon, a year sure to be full of creativity, courage, love and passion. here’s to a prosperous year, filled with health and joy!",11,5,1,2,0,2,5,1,7,1,0,2,0,0,0,2,1,15
"2827",2827,"subaruofamerica","101616856688",43,270,28,"2012-01-21","21:06:39","2012-01-21",6,"night","status","it’s national hugging day! what better way to celebrate than to … you guessed it … give a hug! whether to a friend, family member or fellow subaru owner, spread the love!",8,3,0,0,0,0,3,0,4,0,0,3,NA,NA,NA,NA,NA,14
"2828",2828,"subaruofamerica","101616856688",1,59,8,"2012-01-21","18:00:18","2012-01-21",6,"afternoon","link","are you at wintergreen resort this weekend? you're in luck, because so are we! our master the mountain team is hitting the slopes and offering free mini ski and board lessons among other delightful activities. be sure to visit subaru igloo, which is the hub for all activities! for more info: ",4,4,0,4,0,0,2,0,4,0,1,3,0,0,0,1,0,23
"2829",2829,"subaruofamerica","101616856688",0,123,21,"2012-01-20","21:26:01","2012-01-20",5,"night","status","gearing up for a quiet evening at home? tune in to portlandia tonighton ifc - independent film channel at 10 pm est - the episode features an all-new 2012 subaru impreza in addition to an outback wagon. leave a note in the comments if you plan on watching!",-1,1,0,1,0,0,0,1,1,2,1,0,NA,NA,NA,NA,NA,27
"2830",2830,"subaruofamerica","101616856688",12,135,8,"2012-01-20","20:12:59","2012-01-20",5,"night","status","we're ending the first week of subaru legacy days by volunteering with the animal welfare association. to learn more about this organization, visit ",NA,NA,0,1,0,0,1,0,3,0,1,2,NA,NA,NA,NA,NA,11
"2831",2831,"subaruofamerica","101616856688",2,79,9,"2012-01-20","14:25:35","2012-01-20",5,"afternoon","link","marc cohn may like to walk in memphis, but we much prefer to drive our subaru's! come visit us at the memphis auto show!  for more info",NA,1,0,0,0,0,0,0,2,0,0,1,NA,NA,NA,NA,NA,11
"2832",2832,"subaruofamerica","101616856688",24,3551,179,"2012-01-19","22:03:17","2012-01-19",4,"night","photo","we caught up with dave mirra and told him how awesome subaru facebook fans are. he offered to sign a subaru rally shirt for us to give away to a fan. like this post and one of you could get the shirt!",7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"2833",2833,"subaruofamerica","101616856688",1,68,5,"2012-01-19","17:41:49","2012-01-19",4,"afternoon","link","beep, beep! we’re in omaha for the 2012 midlands international auto show. drop us a comment if you’re stopping by – we’d love to see you :) ",1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,14
"2834",2834,"subaruofamerica","101616856688",3,79,5,"2012-01-19","15:01:07","2012-01-19",4,"afternoon","link","today's subaru legacy days volunteer opportunity is with habitat for humanity in camden, nj. to learn more about camden county's habitat for humanity, visit ",2,NA,0,2,0,1,3,0,8,0,0,3,0,0,0,1,0,16
"2835",2835,"subaruofamerica","101616856688",190,1447,228,"2012-01-18","19:20:38","2012-01-18",3,"night","photo","spotted: subaru brz in midtown atlanta today. we hear it's a little chilly down there ... nothing like a hot sports car to warm things up ;)",1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,11
"2836",2836,"subaruofamerica","101616856688",21,98,8,"2012-01-18","14:55:09","2012-01-18",3,"afternoon","link","calling all top dogs! we want your most picture-perfect moment starring you in your subaru. grand prize? a professional photo shoot, courtesy of subaru gear! visit  for details. oh … and don’t forget to ask your owner’s permission before getting behind the wheel ;)",8,4,1,2,0,1,1,2,7,0,0,3,1,0,0,1,0,23
"2837",2837,"subaruofamerica","101616856688",19,211,9,"2012-01-17","22:12:03","2012-01-17",2,"night","photo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2838",2838,"subaruofamerica","101616856688",2,106,1,"2012-01-17","22:09:42","2012-01-17",2,"night","photo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2839",2839,"subaruofamerica","101616856688",5,124,0,"2012-01-17","20:17:25","2012-01-17",2,"night","link","with a new year comes new products! check out all the latest styles and merchandise we recently added to  cheers everyone, to a happy and prosperous 2012!",8,2,0,1,0,0,2,0,2,0,0,1,0,0,0,2,0,10
"2840",2840,"subaruofamerica","101616856688",11,229,10,"2012-01-17","16:05:38","2012-01-17",2,"afternoon","status","as part of subaru legacy days, subaru employees in the new york tri-state area will be volunteering today with the new vision homeless center in camden, nj and the food bank of south jersey. it’s one of the small ways in which we try to support and improve our communities.",5,2,1,3,1,1,2,1,4,1,0,4,0,0,0,1,0,21
"2841",2841,"subaruofamerica","101616856688",17,226,18,"2012-01-16","16:41:32","2012-01-16",1,"afternoon","status","today we celebrate the birthday of one of this country's greats - dr. martin luther king, jr. to honor his birthday, subaru employees across the country will participate in the annual mlk jr. day of service, from which we kick off subaru legacy days, a two-week period of volunteer opportunities for our employees. are you volunteering today? we'd love to hear how you're giving back - leave a note in the comments!",9,3,1,3,0,1,4,2,7,1,3,2,0,0,0,2,0,36
"2842",2842,"subaruofamerica","101616856688",99,745,249,"2012-01-14","17:53:01","2012-01-14",6,"afternoon","photo","anyone heading to the north american international auto show in detroit this weekend? if so, you're in for a treat - the production version of the all-new, rear-wheel drive 2013 subaru brz is making its u.s. debut! we'd love to hear what you think - leave us a note in the comments! for show info, check out our facebook events page: ",2,1,1,2,1,1,2,3,3,2,2,1,NA,NA,NA,NA,NA,28
"2843",2843,"subaruofamerica","101616856688",1,68,14,"2012-01-14","16:56:08","2012-01-14",6,"afternoon","link","it's national dress up your pet day! for all our pet-owners, we'd love to see your pets in play. make sure to to take a look at these tips from aspca first, though (specifically, 5,6 & 7) - it's important to make sure fluffy and scruffy are comfortable in their costumes. ",5,2,0,0,0,0,1,2,1,0,0,0,NA,NA,NA,NA,NA,18
"2844",2844,"subaruofamerica","101616856688",0,87,16,"2012-01-14","14:08:46","2012-01-14",6,"afternoon","link",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2845",2845,"subaruofamerica","101616856688",0,63,0,"2012-01-14","14:08:24","2012-01-14",6,"afternoon","link",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2846",2846,"subaruofamerica","101616856688",0,51,0,"2012-01-14","14:08:07","2012-01-14",6,"afternoon","link",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2847",2847,"subaruofamerica","101616856688",2,65,3,"2012-01-14","14:07:54","2012-01-14",6,"afternoon","link","the subaru master the mountain teams are at it again this weekend - this time we're hitting up pennsylvania's hidden valley resort and jackson hole mountain resort. free mini ski and board lessons and scavengers hunts around the mountains are just a few of the fun festivities we're offering! hope to see you there! ",7,3,0,6,0,0,2,1,3,0,1,2,0,0,0,0,1,27
"2848",2848,"subaruofamerica","101616856688",31,435,25,"2012-01-13","22:37:09","2012-01-13",5,"night","photo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
